Index,X_Coordinate,Y_Coordinate,Phase_Error
710,6.7979,12.1702,0.02049257379
711,6.7979,12.1809,0.02049257379
712,6.8085,12.1809,0.01692047377
713,6.8085,12.2021,0.01692047377
714,6.8191,12.2021,0.01334837375
715,6.8191,12.2234,0.01334837375
716,6.8298,12.2234,0.01917653694
717,6.8298,12.2447,0.01917653694
718,6.8404,12.2447,0.01560443692
719,6.8404,12.266,0.01560443692
720,6.8511,12.266,0.02143260011
721,6.8511,12.2766,0.02143260011
722,6.8617,12.2766,0.01786050009
723,6.8617,12.3085,0.01786050009
724,6.8723,12.3085,0.01428840008
725,6.8723,12.3191,0.01428840008
726,6.883,12.3191,0.02011656326
727,6.883,12.3404,0.02011656326
728,6.8936,12.3404,0.01654446324
729,6.8936,12.3617,0.01654446324
730,6.9043,12.3617,0.02237262643
731,6.9043,12.383,0.02237262643
732,6.9149,12.383,0.01880052641
733,6.9149,12.4043,0.01880052641
734,6.9255,12.4043,0.0152284264
735,6.9255,12.4255,0.0152284264
736,6.9362,12.4255,0.02105658958
737,6.9362,12.4468,0.02105658958
